genename	element
GRMZM2G172021	Coreg
GRMZM2G393471	Coreg
GRMZM2G049168	Coreg
GRMZM2G134426	Coreg
GRMZM2G436226	Coreg
GRMZM2G129243	Coreg
GRMZM2G137367	Coreg
AC209858.4_FG004	Coreg
GRMZM2G114184	Coreg
GRMZM2G128206	Coreg
GRMZM2G160198	Coreg
GRMZM2G084799	TF
GRMZM2G111990	TF
GRMZM2G112263	TF
GRMZM2G038015	TF
GRMZM2G317160	TF
GRMZM2G070849	TF
GRMZM2G174284	TF
GRMZM2G314064	TF
GRMZM2G009060	TF
GRMZM2G033570	TF
GRMZM2G030272	TF
GRMZM2G031001	TF
GRMZM2G011598	TF
GRMZM2G003424	TF
GRMZM2G006477	TF
GRMZM2G062391	TF
GRMZM2G075988	TF
GRMZM2G134671	TF
GRMZM2G378907	TF
GRMZM2G102497	TF
GRMZM2G168665	TF
AC216247.3_FG001	TF
GRMZM2G026417	TF
GRMZM2G147698	TF
GRMZM2G092888	TF
GRMZM2G077960	TF
GRMZM2G311656	TF
GRMZM2G117513	TF
GRMZM2G110067	TF
GRMZM2G037630	TF
GRMZM2G060544	TF
GRMZM2G137502	TF
GRMZM2G425430	TF
GRMZM2G044902	TF
GRMZM2G132794	TF
GRMZM2G477287	TF
GRMZM2G353553	TF
GRMZM2G039312	TF
GRMZM2G064466	TF
GRMZM2G125095	TF
GRMZM2G057768	TF
GRMZM2G079470	TF
GRMZM5G813892	TF
GRMZM5G806839	TF
GRMZM2G113098	TF
GRMZM2G148074	TF
GRMZM2G088524	TF
GRMZM2G481163	TF
GRMZM2G082709	TF
GRMZM2G001930	TF
GRMZM2G094168	TF
GRMZM2G123140	TF
GRMZM2G383594	TF
GRMZM5G809663	TF
GRMZM2G131476	TF
GRMZM2G097454	TF
GRMZM2G150327	TF
GRMZM2G023119	TF
GRMZM2G076327	TF
GRMZM2G116638	TF
GRMZM2G039870	TF
GRMZM2G153594	TF
GRMZM2G119999	TF
GRMZM2G093020	TF
GRMZM2G463630	TF
GRMZM2G479885	TF
GRMZM2G143046	TF
GRMZM2G130149	TF
GRMZM2G123900	TF
GRMZM2G403620	TF
GRMZM2G369993	TF
GRMZM2G179325	TF
GRMZM2G179121	TF
GRMZM2G181254	TF
GRMZM2G348780	TF
GRMZM2G075631	TF
GRMZM2G039112	TF
GRMZM2G476637	TF
AC234520.1_FG003	TF
GRMZM2G131897	TF
GRMZM2G065496	TF
GRMZM2G065478	TF
GRMZM2G522066	TF
GRMZM2G034563	TF
GRMZM2G039094	TF
GRMZM2G130374	TF
GRMZM2G018472	TF
GRMZM2G165090	TF
GRMZM2G073427	TF
GRMZM2G015097	TF
GRMZM2G322090	TF
GRMZM5G865967	TF
GRMZM2G003509	TF
GRMZM2G361842	TF
GRMZM2G081158	TF
GRMZM5G853836	TF
GRMZM2G018030	TF
GRMZM2G141955	TF
GRMZM2G009530	TF
GRMZM2G475014	TF
GRMZM2G068604	TF
GRMZM2G049686	TF
