gene_name	clone_name
GRMZM2G057116	pUT1758
GRMZM2G018487	pUT1804
GRMZM2G077752	pUT1767
GRMZM2G312806	pUT1756
GRMZM2G178102	pUT1770
GRMZM2G005954	pUT1805
GRMZM2G167018	pUT1176
GRMZM2G163054	pUT1759
GRMZM2G171365	pUT1761
GRMZM2G041818	pUT1766
GRMZM2G118690	pUT1803
GRMZM2G041761	pUT1863
GRMZM2G071907	pUT1816
GRMZM2G002128	pUT1771
GRMZM2G444748	pUT1860
GRMZM2G111731	pUT1886
GRMZM2G054795	pUT1396
GRMZM2G172001	pUT1500
GRMZM2G158717	pUT1681
GRMZM2G048450	pUT1178
GRMZM2G060798	pUT1399
GRMZM2G020081	pUT1453
GRMZM2G018553	pUT1862
GRMZM2G051955	pUT3972
GRMZM2G435475	pUT3967
GRMZM2G013688	pUT3993
GRMZM2G171852	pUT3968
GRMZM2G084130	pUT3969
GRMZM2G394973	pUT3970
GRMZM2G165991	pUT6460
GRMZM2G180471	pUT6500
GRMZM2G134716	pUT5999
GRMZM2G422644	pUT6004
GRMZM2G130580	pUT6005
GRMZM2G096171	pUT6006
GRMZM2G166035	pUT6007
GRMZM2G158818	pUT6008
GRMZM2G009163	pUT6009
GRMZM2G129954	pUT6012
GRMZM2G019335	pUT6018
GRMZM2G109496	pUT6021
GRMZM2G442404	pUT6022
GRMZM2G127426	pUT6029
GRMZM2G143718	pUT6031
GRMZM2G001577	pUT6451
GRMZM2G056572	pUT6452
GRMZM2G081359	pUT6454
GRMZM2G095892	pUT6459
GRMZM2G033612	pUT6511
GRMZM2G161544	pUT6513
GRMZM2G074323	pUT6514
GRMZM2G134552	pUT6481
GRMZM2G166297	pUT6634
GRMZM2G038988	pUT6515
GRMZM2G089010	pUT6641
GRMZM2G050512	pUT6604
GRMZM2G078820	pUT6530
GRMZM2G070849	pUT6564
GRMZM5G889372	pUT6609
GRMZM2G010017	pUT6450
GRMZM2G383807	pUT6453
GRMZM5G826979	pUT6457
GRMZM2G153675	pUT6458
GRMZM5G892879	pUT6456
AC155624.2_FG006	pUT6646
GRMZM2G126832	pUT6498
GRMZM2G119359	pUT6512
GRMZM2G098474	pUT5996
GRMZM2G319187	pUT5998
GRMZM2G040642	pUT6001
GRMZM2G155991	pUT6002
GRMZM2G179827	pUT6003
GRMZM2G012654	pUT6581
GRMZM2G104396	pUT6582
GRMZM2G061408	pUT6583
GRMZM2G172506	pUT6584
GRMZM2G361842	pUT6585
GRMZM2G010855	pUT6586
AC207628.4_FG011	pUT6587
GRMZM2G064426	pUT6620
GRMZM2G156019	pUT6623
GRMZM2G129872	pUT6624
GRMZM2G000686	pUT6627
GRMZM2G392101	pUT6628
GRMZM2G158313	pUT6629
GRMZM2G100133	pUT5546
GRMZM2G093020	pUT5553
GRMZM2G044902	pUT5558
AC233943.1_FG002	pUT5559
GRMZM2G084264	pUT5566
GRMZM2G104866	pUT5567
GRMZM2G020156	pUT6441
GRMZM2G079653	pUT6482
GRMZM2G122228	pUT6647
GRMZM2G159811	pUT6563
GRMZM2G173734	pUT6648
GRMZM2G377904	pUT6649
GRMZM2G073788	pUT6528
GRMZM2G122614	pUT4010
GRMZM2G121111	pUT4013
GRMZM2G111306	pUT4016
GRMZM2G110153	pUT4017
GRMZM2G105641	pUT4020
GRMZM2G105137	pUT4025
GRMZM2G101806	pUT4028
GRMZM2G096064	pUT4031
GRMZM2G092609	pUT4034
GRMZM2G084583	pUT4037
GRMZM2G076327	pUT4040
GRMZM2G073982	pUT4043
GRMZM2G071322	pUT4046
GRMZM2G060918	pUT4049
GRMZM2G060444	pUT4052
GRMZM2G055158	pUT4055
GRMZM2G052239	pUT4058
GRMZM2G029282	pUT4064
GRMZM2G017087	pUT4067
GRMZM2G011385	pUT4070
GRMZM2G006745	pUT4073
GRMZM2G005066	pUT4076
AC212823.4_FG003	pUT4079
AC207342.3_FG001	pUT4082
AC203535.4_FG002	pUT4085
AC200038.4_FG011	pUT4088
AC198937.4_FG005	pUT4091
AC193767.3_FG003	pUT4094
AC190734.2_FG003	pUT4097
AC190609.3_FG001	pUT4100
AC184831.3_FG005	pUT4103
GRMZM2G132667	pUT4104
GRMZM2G135410	pUT4107
GRMZM2G137374	pUT4110
GRMZM2G144188	pUT4113
GRMZM2G148188	pUT4116
GRMZM2G152543	pUT4119
GRMZM2G156088	pUT4122
GRMZM2G156529	pUT4125
GRMZM2G161666	pUT4128
GRMZM2G165042	pUT4131
GRMZM2G165090	pUT4134
GRMZM2G170232	pUT4137
GRMZM2G170559	pUT4140
GRMZM2G174784	pUT4143
GRMZM2G175480	pUT4146
GRMZM2G176489	pUT4149
GRMZM2G177760	pUT4152
GRMZM2G302549	pUT4155
GRMZM2G307241	pUT4158
GRMZM2G310368	pUT4161
GRMZM2G311656	pUT4164
GRMZM2G322490	pUT4167
GRMZM2G323553	pUT4170
GRMZM2G328814	pUT4173
GRMZM2G333582	pUT4176
GRMZM2G337011	pUT4179
GRMZM2G342217	pUT4182
GRMZM2G369018	pUT4185
GRMZM2G369993	pUT4188
GRMZM2G379656	pUT4191
GRMZM2G381441	pUT4194
GRMZM2G383594	pUT4197
GRMZM2G392823	pUT4200
GRMZM2G395672	pUT4203
GRMZM2G398758	pUT4206
GRMZM2G400559	pUT4209
GRMZM2G401809	pUT4212
GRMZM2G402156	pUT4215
GRMZM2G414114	pUT4218
GRMZM2G415251	pUT4221
GRMZM2G416524	pUT4224
GRMZM2G416708	pUT4227
GRMZM2G425366	pUT4230
GRMZM2G427438	pUT4233
GRMZM2G436659	pUT4236
GRMZM2G441115	pUT4239
GRMZM2G460869	pUT4242
GRMZM2G477533	pUT4245
GRMZM2G480621	pUT4248
GRMZM2G481280	pUT4251
GRMZM5G803888	pUT4254
GRMZM5G809663	pUT4257
GRMZM5G812272	pUT4260
GRMZM5G832409	pUT4263
GRMZM5G845296	pUT4266
GRMZM5G847287	pUT4269
GRMZM5G868061	pUT4272
GRMZM2G365731	pUT4275
GRMZM2G438260	pUT4278
GRMZM2G451771	pUT4281
GRMZM2G340756	pUT4284
AC204621.4_FG006	pUT4287
GRMZM2G004663	pUT4290
GRMZM2G038878	pUT4293
GRMZM2G366434	pUT4411
GRMZM2G132223	pUT4412
GRMZM5G852704	pUT4413
GRMZM2G067463	pUT4414
GRMZM2G087059	pUT4415
GRMZM2G000842	pUT4416
GRMZM2G011119	pUT4417
GRMZM2G133972	pUT4418
GRMZM2G064466	pUT4419
GRMZM2G142962	pUT4420
GRMZM2G069370	pUT4421
GRMZM2G090837	pUT4422
GRMZM2G052606	pUT4423
GRMZM2G172327	pUT4424
GRMZM2G167088	pUT4425
GRMZM2G047038	pUT4426
GRMZM2G045544	pUT4427
GRMZM2G024898	pUT4428
GRMZM5G823157	pUT4429
GRMZM2G163418	pUT4430
GRMZM2G027972	pUT4431
GRMZM2G054125	pUT4432
GRMZM2G101405	pUT4433
GRMZM2G475984	pUT4434
GRMZM5G853479	pUT4435
GRMZM2G081221	pUT4436
GRMZM2G070264	pUT4437
GRMZM2G108166	pUT4438
GRMZM2G393742	pUT4439
GRMZM2G019863	pUT4440
GRMZM2G149786	pUT4441
GRMZM2G121115	pUT4442
GRMZM2G406651	pUT4443
GRMZM2G025989	pUT4444
GRMZM2G044150	pUT4445
GRMZM2G154320	pUT4446
GRMZM2G061542	pUT4447
GRMZM2G130773	pUT4448
GRMZM2G371912	pUT4449
GRMZM2G402538	pUT4450
GRMZM2G026724	pUT4451
GRMZM2G178435	pUT4539
GRMZM2G470556	pUT4540
GRMZM2G030529	pUT4541
GRMZM2G302323	pUT4542
GRMZM2G127064	pUT4553
GRMZM2G123461	pUT4556
GRMZM2G071648	pUT4559
GRMZM2G133168	pUT4560
GRMZM2G073047	pUT4561
GRMZM2G156006	pUT4562
GRMZM2G135452	pUT4563
GRMZM2G111415	pUT4564
GRMZM2G146028	pUT4565
GRMZM2G020016	pUT4566
GRMZM2G142179	pUT4567
GRMZM2G141638	pUT4568
GRMZM2G113078	pUT4569
GRMZM5G806839	pUT4570
GRMZM2G144480	pUT4571
GRMZM2G080111	pUT4572
GRMZM2G177046	pUT4573
GRMZM2G336766	pUT4574
AC232238.2_FG004	pUT4575
GRMZM2G105834	pUT4576
GRMZM2G366130	pUT4577
GRMZM2G062244	pUT4578
GRMZM2G028622	pUT4579
GRMZM2G097638	pUT4580
GRMZM2G169356	pUT4581
GRMZM2G166337	pUT4582
GRMZM2G139284	pUT4583
GRMZM2G098179	pUT4584
GRMZM2G409881	pUT4585
GRMZM2G170958	pUT4586
GRMZM2G031882	pUT4587
GRMZM2G478396	pUT4588
GRMZM2G047448	pUT4589
GRMZM5G833253	pUT4590
GRMZM2G143274	pUT4591
GRMZM2G004090	pUT4592
GRMZM2G083239	pUT4593
GRMZM2G312419	pUT4594
GRMZM2G089686	pUT4595
GRMZM2G700011	pUT4596
GRMZM2G030403	pUT4597
GRMZM2G391164	pUT4598
GRMZM2G126856	pUT4599
GRMZM2G149449	pUT4600
GRMZM2G143352	pUT4601
GRMZM2G059544	pUT4602
GRMZM2G048131	pUT4603
GRMZM2G001799	pUT4604
GRMZM2G020254	pUT4605
GRMZM2G034421	pUT4606
GRMZM2G063880	pUT4607
GRMZM2G090594	pUT4608
GRMZM2G408897	pUT4609
GRMZM2G105822	pUT4610
GRMZM2G034495	pUT4611
GRMZM2G402538	pUT4612
GRMZM2G022606	pUT4613
GRMZM2G077428	pUT4614
GRMZM2G128485	pUT4615
GRMZM2G092542	pUT4616
AC214648.3_FG005	pUT4617
GRMZM5G868471	pUT4618
GRMZM2G395850	pUT4619
GRMZM2G018782	pUT4620
GRMZM2G046238	pUT4621
GRMZM2G080295	pUT4622
GRMZM2G179021	pUT4623
GRMZM2G003406	pUT4624
GRMZM2G088783	pUT4625
GRMZM2G701063	pUT4632
GRMZM2G088413	pUT4671
GRMZM2G088427	pUT4672
GRMZM2G320754	pUT4673
GRMZM2G028794	pUT4674
GRMZM2G098063	pUT4675
GRMZM2G069126	pUT4676
GRMZM2G055070	pUT4677
GRMZM2G104260	pUT4678
AC209257.4_FG006	pUT4679
GRMZM2G119865	pUT4680
GRMZM2G159592	pUT4681
GRMZM2G015281	pUT4682
GRMZM2G048621	pUT4683
GRMZM2G376255	pUT4684
GRMZM2G165257	pUT4685
AC207656.3_FG002	pUT4686
GRMZM2G360523	pUT4687
GRMZM2G359924	pUT4688
GRMZM2G171818	pUT4689
GRMZM2G145146	pUT4690
GRMZM2G164341	pUT4691
GRMZM2G004356	pUT4692
GRMZM2G076636	pUT4693
GRMZM2G091003	pUT4694
GRMZM2G173521	pUT4695
GRMZM2G150327	pUT4696
GRMZM2G067654	pUT4697
GRMZM2G082630	pUT4698
GRMZM2G164848	pUT4699
GRMZM2G020799	pUT4700
GRMZM2G438652	pUT4701
GRMZM2G325850	pUT4702
GRMZM2G044576	pUT4703
GRMZM2G123909	pUT4704
GRMZM5G887975	pUT4705
GRMZM2G470422	pUT4706
GRMZM2G136494	pUT4707
GRMZM2G074032	pUT4708
GRMZM5G830949	pUT4709
GRMZM2G149347	pUT4710
GRMZM2G473152	pUT4711
GRMZM2G124663	pUT4712
GRMZM2G180947	pUT4713
GRMZM2G059678	pUT4714
GRMZM2G366584	pUT4715
GRMZM2G391164	pUT4716
GRMZM2G477238	pUT4717
GRMZM2G106185	pUT4718
GRMZM2G066373	pUT4719
GRMZM2G333775	pUT4720
GRMZM2G479325	pUT4721
GRMZM2G049730	pUT4722
GRMZM2G129154	pUT4723
GRMZM2G091656	pUT4724
GRMZM2G176537	pUT4725
GRMZM2G114680	pUT4726
GRMZM2G140094	pUT4727
GRMZM5G850129	pUT4728
GRMZM2G071112	pUT4729
GRMZM2G008286	pUT4730
GRMZM2G002225	pUT4731
GRMZM2G166041	pUT4732
GRMZM2G307397	pUT4733
GRMZM2G477415	pUT4734
GRMZM2G052045	pUT4735
GRMZM2G086880	pUT4736
GRMZM2G301485	pUT4737
AC206165.3_FG007	pUT4738
GRMZM2G089525	pUT4739
GRMZM2G164909	pUT4740
GRMZM2G021095	pUT4741
GRMZM2G132693	pUT4742
GRMZM2G447176	pUT4743
GRMZM2G121487	pUT4744
GRMZM2G075499	pUT4745
GRMZM2G161666	pUT4746
AC233912.1_FG001	pUT4747
GRMZM2G128953	pUT4748
GRMZM2G135018	pUT4749
GRMZM2G130773	pUT4750
GRMZM2G061542	pUT4751
GRMZM2G160840	pUT4752
GRMZM2G028054	pUT4753
GRMZM2G027697	pUT4754
GRMZM2G054111	pUT4755
GRMZM5G803355	pUT4756
GRMZM2G015021	pUT4757
GRMZM2G031323	pUT4758
GRMZM2G131937	pUT4759
GRMZM2G011422	pUT4760
GRMZM2G138427	pUT4761
GRMZM2G016020	pUT4762
GRMZM2G111990	pUT4763
GRMZM2G027914	pUT4764
GRMZM2G018436	pUT4765
GRMZM2G082709	pUT4766
GRMZM2G104074	pUT4767
GRMZM2G008374	pUT4768
GRMZM2G316840	pUT4769
GRMZM2G389557	pUT4770
GRMZM2G134717	pUT4771
GRMZM2G156977	pUT4772
GRMZM2G091490	pUT4773
GRMZM5G832473	pUT4774
GRMZM2G041668	pUT4775
GRMZM2G140901	pUT4776
GRMZM2G440219	pUT4777
GRMZM2G048826	pUT4778
GRMZM2G112548	pUT4779
GRMZM2G099144	pUT4780
GRMZM2G354151	pUT4781
GRMZM2G134687	pUT4782
GRMZM2G392306	pUT4783
GRMZM2G308615	pUT4784
GRMZM2G135444	pUT4785
GRMZM2G150213	pUT4786
GRMZM2G125943	pUT4787
GRMZM2G023346	pUT4788
GRMZM2G158140	pUT4789
GRMZM2G025579	pUT4790
GRMZM2G107595	pUT4791
GRMZM2G040115	pUT4792
GRMZM2G300125	pUT4793
GRMZM2G065692	pUT4794
GRMZM2G077960	pUT4795
GRMZM5G818101	pUT4796
GRMZM2G181276	pUT4797
AC233946.1_FG004	pUT4798
GRMZM2G035688	pUT4799
GRMZM2G058690	pUT4800
GRMZM2G039094	pUT4801
GRMZM2G160198	pUT4802
GRMZM2G382345	pUT4803
GRMZM2G084397	pUT4804
GRMZM2G097454	pUT4805
GRMZM2G000603	pUT4806
GRMZM2G311187	pUT4807
GRMZM2G062218	pUT4808
GRMZM2G077428	pUT4809
GRMZM2G126802	pUT4810
GRMZM2G319215	pUT4811
GRMZM2G127924	pUT4812
GRMZM2G372171	pUT4813
GRMZM2G169580	pUT4814
GRMZM2G156348	pUT4815
GRMZM2G023119	pUT4816
GRMZM2G099593	pUT4817
GRMZM2G054125	pUT4818
GRMZM2G163418	pUT4819
GRMZM2G453571	pUT4820
GRMZM2G161411	pUT4821
GRMZM2G411766	pUT4822
GRMZM2G425236	pUT4823
GRMZM2G450445	pUT4947
GRMZM2G167492	pUT4948
GRMZM2G425798	pUT4949
GRMZM2G139740	pUT4950
GRMZM2G110109	pUT4951
GRMZM2G107672	pUT4952
GRMZM2G172795	pUT4953
GRMZM2G018472	pUT4954
GRMZM5G817854	pUT4955
GRMZM2G011789	pUT4956
GRMZM2G444073	pUT4957
GRMZM2G378665	pUT4958
GRMZM2G370425	pUT4959
GRMZM2G140085	pUT4960
GRMZM2G098696	pUT4961
GRMZM2G165272	pUT4962
GRMZM2G416652	pUT4963
GRMZM2G379167	pUT4964
GRMZM2G109627	pUT4965
GRMZM2G100593	pUT4966
GRMZM5G893117	pUT4967
GRMZM2G148056	pUT4968
GRMZM2G371176	pUT4969
GRMZM2G471108	pUT4970
GRMZM2G147840	pUT4971
GRMZM2G342197	pUT4972
GRMZM2G112925	pUT4973
GRMZM2G089638	pUT4974
GRMZM2G339957	pUT4975
GRMZM2G149219	pUT4976
GRMZM2G073272	pUT4977
GRMZM2G149683	pUT4978
GRMZM2G105140	pUT4979
GRMZM2G461648	pUT4980
GRMZM2G057011	pUT4981
GRMZM2G460544	pUT4982
GRMZM2G110531	pUT5194
GRMZM2G159161	pUT5195
GRMZM2G382918	pUT5196
GRMZM2G001606	pUT5197
GRMZM2G418031	pUT5198
GRMZM2G059851	pUT5199
GRMZM2G479760	pUT5200
GRMZM5G818776	pUT5201
GRMZM2G383841	pUT5202
GRMZM5G812883	pUT5203
GRMZM2G324781	pUT5204
GRMZM2G138421	pUT5205
GRMZM2G025880	pUT5206
GRMZM2G373887	pUT5221
GRMZM2G036297	pUT5222
GRMZM2G304573	pUT5223
GRMZM2G133262	pUT5240
GRMZM2G177929	pUT5292
GRMZM2G098442	pUT5293
GRMZM2G164082	pUT5294
GRMZM2G366795	pUT5295
GRMZM2G451035	pUT5296
GRMZM2G036703	pUT5297
GRMZM2G016637	pUT5298
GRMZM2G148198	pUT5299
GRMZM2G126827	pUT5300
GRMZM2G134752	pUT5301
GRMZM2G075631	pUT5302
GRMZM2G003755	pUT5303
GRMZM2G071196	pUT5304
GRMZM2G083759	pUT5305
GRMZM2G439903	pUT5306
GRMZM2G003558	pUT5307
GRMZM2G177244	pUT5308
GRMZM2G172621	pUT5309
GRMZM2G030325	pUT5312
GRMZM2G034253	pUT5313
GRMZM2G001592	pUT5316
GRMZM2G001447	pUT5317
AC149475.2_FG007	pUT6227
AC149829.2_FG004	pUT6228
AC187891.3_FG006	pUT6229
AC204502.4_FG006	pUT6230
AC209858.4_FG004	pUT6231
AC234185.1_FG006	pUT6232
AC234520.1_FG003	pUT6233
GRMZM2G001243	pUT6234
GRMZM2G002978	pUT6235
GRMZM2G003489	pUT6236
GRMZM2G008482	pUT6237
GRMZM2G013302	pUT6238
GRMZM2G013612	pUT6239
GRMZM2G019956	pUT6240
GRMZM2G023291	pUT6241
GRMZM2G030710	pUT6242
GRMZM2G033915	pUT6243
GRMZM2G035156	pUT6244
GRMZM2G037043	pUT6245
GRMZM2G037368	pUT6246
GRMZM2G040673	pUT6247
GRMZM2G040736	pUT6248
GRMZM2G041761	pUT6249
GRMZM2G052720	pUT6250
GRMZM2G055737	pUT6251
GRMZM2G056929	pUT6252
GRMZM2G058588	pUT6253
GRMZM2G061292	pUT6254
GRMZM2G069486	pUT6255
GRMZM2G074427	pUT6256
GRMZM2G074489	pUT6257
GRMZM2G074645	pUT6258
GRMZM2G075988	pUT6259
GRMZM2G082264	pUT6260
GRMZM2G086072	pUT6261
GRMZM2G090213	pUT6262
GRMZM2G090230	pUT6263
GRMZM2G091061	pUT6264
GRMZM2G093725	pUT6265
GRMZM2G095299	pUT6266
GRMZM2G096016	pUT6267
GRMZM2G096252	pUT6268
GRMZM2G099797	pUT6269
GRMZM2G103085	pUT6270
GRMZM2G104789	pUT6271
GRMZM2G106276	pUT6272
GRMZM2G109605	pUT6273
GRMZM2G110952	pUT6274
GRMZM2G116063	pUT6275
GRMZM2G117513	pUT6276
GRMZM2G118082	pUT6277
GRMZM2G118884	pUT6278
GRMZM2G124037	pUT6279
GRMZM2G125976	pUT6280
GRMZM2G126026	pUT6281
GRMZM2G126817	pUT6282
GRMZM2G127548	pUT6283
GRMZM2G127680	pUT6284
GRMZM2G131280	pUT6285
GRMZM2G131516	pUT6286
GRMZM2G134066	pUT6287
GRMZM2G138396	pUT6288
GRMZM2G142964	pUT6289
GRMZM2G143788	pUT6290
GRMZM2G147424	pUT6291
GRMZM2G148087	pUT6292
GRMZM2G148561	pUT6293
GRMZM2G157716	pUT6294
GRMZM2G158700	pUT6295
GRMZM2G158918	pUT6296
GRMZM2G161435	pUT6297
GRMZM2G167207	pUT6298
GRMZM2G167576	pUT6299
GRMZM2G168665	pUT6300
GRMZM2G171569	pUT6301
GRMZM2G171934	pUT6302
GRMZM2G172936	pUT6303
GRMZM2G173771	pUT6304
GRMZM2G179885	pUT6305
GRMZM2G301860	pUT6306
GRMZM2G312201	pUT6307
GRMZM2G324162	pUT6308
GRMZM2G330159	pUT6309
GRMZM2G351232	pUT6310
GRMZM2G365754	pUT6311
GRMZM2G368838	pUT6312
GRMZM2G378580	pUT6313
GRMZM2G380377	pUT6401
GRMZM2G386674	pUT6402
GRMZM2G397616	pUT6403
GRMZM2G408012	pUT6404
GRMZM2G416701	pUT6405
GRMZM2G421033	pUT6406
GRMZM2G422205	pUT6407
GRMZM2G430522	pUT6408
GRMZM2G430871	pUT6409
GRMZM2G431445	pUT6410
GRMZM2G456960	pUT6411
GRMZM2G526668	pUT6412
GRMZM5G816314	pUT6413
GRMZM5G845472	pUT6414
GRMZM5G864847	pUT6415
GRMZM5G891280	pUT6416
GRMZM2G051793	pUT6438
GRMZM2G162434	pUT6439
GRMZM2G001875	pUT6440
GRMZM2G004696	pUT6443
GRMZM2G062657	pUT6444
GRMZM2G151934	pUT6445
GRMZM2G038691	pUT6446
GRMZM2G162481	pUT6448
GRMZM2G115357	pUT6480
GRMZM2G008234	pUT6489
GRMZM2G110135	pUT6490
GRMZM2G143204	pUT6491
GRMZM2G375448	pUT6492
GRMZM2G175856	pUT6493
GRMZM2G020150	pUT6494
GRMZM2G004161	pUT6508
GRMZM2G384528	pUT6510
GRMZM2G123159	pUT6517
GRMZM2G143782	pUT6518
GRMZM2G145594	pUT6519
GRMZM2G060249	pUT6526
GRMZM2G134863	pUT6532
GRMZM2G159948	pUT6534
GRMZM2G145968	pUT6535
GRMZM2G175761	pUT6536
GRMZM2G013378	pUT6547
GRMZM2G152796	pUT6554
GRMZM2G141205	pUT6559
GRMZM2G100946	pUT6575
GRMZM2G074742	pUT6576
GRMZM2G055141	pUT6577
GRMZM2G046288	pUT6578
GRMZM2G100872	pUT6613
GRMZM2G359735	pUT6614
GRMZM2G064145	pUT6615
GRMZM2G106245	pUT6643
GRMZM2G368898	pUT6653
GRMZM2G478798	pUT6654
GRMZM2G176723	pUT6658
GRMZM5G809195	pUT6659
GRMZM2G113156	pUT6668
GRMZM2G129243	pUT6669
GRMZM2G137961	pUT6670
GRMZM2G087451	pUT6671
GRMZM2G139683	pUT6672
GRMZM2G077088	pUT6673
GRMZM2G109738	pUT6675
GRMZM2G162640	pUT6676
GRMZM2G005066	pUT6677
GRMZM2G058292	pUT6678
GRMZM2G086138	pUT5547
GRMZM2G079957	pUT5548
GRMZM2G167794	pUT5549
GRMZM2G024247	pUT5550
GRMZM2G103251	pUT5551
GRMZM5G818977	pUT5552
GRMZM2G112535	pUT5554
AC191251.3_FG005	pUT5555
GRMZM2G162284	pUT5556
GRMZM2G124502	pUT5557
GRMZM2G000158	pUT5561
GRMZM5G800112	pUT5562
GRMZM2G424241	pUT5563
GRMZM2G011624	pUT5564
GRMZM2G128206	pUT5573
GRMZM2G024887	pUT5579
GRMZM2G142768	pUT5582
GRMZM2G177895	pUT5583
GRMZM2G013821	pUT5584
GRMZM2G035465	pUT5585
GRMZM2G088086	pUT5658
GRMZM2G085254	pUT5661
GRMZM2G017537	pUT5663
GRMZM2G048192	pUT5665
GRMZM2G032252	pUT5667
GRMZM2G099305	pUT5668
GRMZM2G061672	pUT5323
GRMZM2G017845	pUT5327
GRMZM2G066528	pUT5328
GRMZM2G134752	pUT5329
GRMZM2G161610	pUT5330
GRMZM2G108147	pUT5331
GRMZM2G052985	pUT5332
GRMZM2G079200	pUT5333
GRMZM2G066981	pUT5335
GRMZM2G524937	pUT5336
GRMZM2G320703	pUT5337
GRMZM2G342856	pUT5338
GRMZM2G156785	pUT5340
GRMZM2G108716	pUT5341
GRMZM2G147243	pUT5342
GRMZM2G051135	pUT5347
GRMZM2G153409	pUT5348
GRMZM2G131618	pUT5350
GRMZM5G834758	pUT5351
GRMZM2G040509	pUT5736
GRMZM2G178663	pUT5748
GRMZM2G154437	pUT5760
GRMZM2G180654	pUT5684
GRMZM2G081441	pUT5737
GRMZM2G057554	pUT5749
GRMZM2G031615	pUT5761
GRMZM2G101480	pUT5785
GRMZM2G421899	pUT5685
GRMZM2G163848	pUT5762
GRMZM2G128421	pUT5786
GRMZM2G008898	pUT5686
GRMZM2G404188	pUT5739
GRMZM2G120971	pUT5763
GRMZM2G009478	pUT5687
GRMZM2G574887	pUT5740
GRMZM2G080054	pUT5688
GRMZM2G125648	pUT5741
GRMZM2G134517	pUT5777
GRMZM2G137358	pUT5689
GRMZM2G130953	pUT5766
GRMZM2G153454	pUT5690
GRMZM2G359217	pUT5731
GRMZM2G159285	pUT5743
GRMZM2G162450	pUT5691
GRMZM2G031062	pUT5732
GRMZM2G169947	pUT5692
GRMZM2G060723	pUT5745
GRMZM2G028980	pUT5681
GRMZM2G173534	pUT5693
AC194104.3_FG007	pUT5734
GRMZM2G096352	pUT5746
GRMZM2G045331	pUT5782
GRMZM2G160005	pUT5682
AC195147.3_FG001	pUT5735
GRMZM2G024976	pUT5683
GRMZM2G012262	pUT1391
AC225147.4_FG003	pUT1434
GRMZM2G005155	pUT1435
GRMZM2G017142	pUT1436
GRMZM2G088309	pUT1437
GRMZM2G126834	pUT1438
GRMZM2G148810	pUT1441
GRMZM2G144196	pUT1442
GRMZM2G000171	pUT1456
GRMZM5G812774	pUT1460
GRMZM2G091433	pUT1461
GRMZM2G095727	pUT1489
GRMZM2G079013	pUT1498
GRMZM2G060485	pUT1502
GRMZM2G392168	pUT1857
GRMZM2G120021	pUT2107
GRMZM2G472671	pUT2108
GRMZM2G042893	pUT2271
GRMZM2G008691	pUT2274
GRMZM5G818643	pUT2275
GRMZM2G163233	pUT2277
GRMZM2G180452	pUT2278
GRMZM2G301089	pUT2279
GRMZM2G036092	pUT2282
GRMZM2G017586	pUT2284
GRMZM2G124715	pUT2285
GRMZM2G082318	pUT2289
GRMZM2G006585	pUT3024
GRMZM2G148693	pUT3026
GRMZM5G822829	pUT3027
GRMZM2G089244	pUT3029
GRMZM2G303465	pUT3050
GRMZM2G006042	pUT3124
GRMZM5G887276	pUT3230
GRMZM2G125704	pUT3339
GRMZM2G035405	pUT3355
GRMZM2G160917	pUT3359
GRMZM2G125239	pUT3380
GRMZM2G086994	pUT3385
GRMZM2G092091	pUT3400
GRMZM2G018254	pUT3646
GRMZM2G118214	pUT3649
GRMZM5G845366	pUT3651
GRMZM2G110579	pUT3652
GRMZM2G037792	pUT3653
GRMZM2G101058	pUT3655
GRMZM2G099461	pUT3656
GRMZM2G387528	pUT3657
GRMZM2G060265	pUT3660
GRMZM2G106548	pUT3661
GRMZM2G037286	pUT3662
GRMZM2G018485	pUT3663
GRMZM2G423393	pUT3664
GRMZM2G027253	pUT3665
GRMZM2G142999	pUT3666
AC210616.4_FG005	pUT3668
GRMZM2G146018	pUT3669
GRMZM2G163914	pUT3683
GRMZM2G147623	pUT3684
GRMZM2G044004	pUT3685
GRMZM2G113950	pUT3686
GRMZM2G064541	pUT3687
GRMZM2G173372	pUT3688
GRMZM2G030744	pUT3689
GRMZM2G095899	pUT3690
GRMZM2G082227	pUT3977
GRMZM2G313078	pUT3978
GRMZM2G163841	pUT3979
GRMZM5G889326	pUT3980
GRMZM2G125095	pUT3981
GRMZM2G157927	pUT3992
GRMZM2G005126	pUT3995
GRMZM2G132794	pUT3996
GRMZM2G089636	pUT3997
GRMZM2G070371	pUT3998
GRMZM2G104342	pUT3999
GRMZM2G055263	pUT4000
GRMZM2G073823	pUT4001
GRMZM2G028438	pUT4002
GRMZM2G133169	pUT4003
GRMZM2G122615	pUT4004
AC208663.3_FG002	pUT4005
GRMZM2G162739	pUT5623
GRMZM2G069047	pUT5624
GRMZM2G064655	pUT5625
GRMZM2G031827	pUT5626
GRMZM2G179802	pUT5627
GRMZM2G087804	pUT5628
GRMZM2G024530	pUT5629
GRMZM2G021276	pUT5630
GRMZM2G143433	pUT5631
GRMZM2G089662	pUT5632
GRMZM2G102059	pUT5633
GRMZM2G445944	pUT5634
GRMZM2G465091	pUT5635
GRMZM2G145458	pUT5636
GRMZM2G159937	pUT5637
GRMZM2G178603	pUT5638
GRMZM2G089949	pUT5639
GRMZM2G002131	pUT5696
GRMZM2G139535	pUT5697
GRMZM2G060919	pUT5698
