gene_name	clone_name
GRMZM2G021573	pUT5415
GRMZM2G092137	pUT5418
GRMZM2G138683	pUT5751
GRMZM2G034113	pUT5468
GRMZM2G131476	pUT5529
GRMZM2G160902	pUT5463
GRMZM2G045236	pUT5465
GRMZM2G175232	pUT5353
GRMZM2G060290	pUT5464
GRMZM2G108959	pUT5518
GRMZM2G423833	pUT3205
GRMZM2G048910	pUT3206
GRMZM5G805505	pUT3177
GRMZM2G103647	pUT6435
GRMZM2G181030	pUT3482
GRMZM2G018984	pUT3484
GRMZM2G176175	pUT3485
GRMZM2G005301	pUT3486
GRMZM2G160730	pUT3487
GRMZM2G066158	pUT3488
GRMZM2G038252	pUT3493
GRMZM2G065829	pUT3160
GRMZM2G071977	pUT3161
GRMZM2G173680	pUT3167
GRMZM2G005207	pUT3170
GRMZM2G169382	pUT3171
GRMZM2G063216	pUT3173
GRMZM2G399072	pUT3175
GRMZM2G039112	pUT3176
GRMZM2G098904	pUT3178
GRMZM2G095078	pUT3179
GRMZM2G157177	pUT3180
GRMZM2G132367	pUT3181
GRMZM2G353553	pUT3184
GRMZM2G332294	pUT3186
GRMZM2G135447	pUT3189
GRMZM2G041127	pUT3191
GRMZM5G805026	pUT3192
GRMZM2G062391	pUT3193
GRMZM2G019446	pUT3194
GRMZM2G425920	pUT3195
GRMZM2G361847	pUT3196
AC203957.3_FG004	pUT3198
GRMZM2G080731	pUT3200
GRMZM2G094241	pUT3201
GRMZM2G069028	pUT3202
GRMZM2G147152	pUT3207
GRMZM2G087817	pUT3208
GRMZM2G158328	pUT3209
GRMZM2G457562	pUT3210
GRMZM2G123119	pUT3211
GRMZM2G029323	pUT3212
GRMZM2G164591	pUT3214
GRMZM2G384386	pUT3215
GRMZM2G069274	pUT3220
GRMZM2G157306	pUT3448
GRMZM2G095239	pUT3450
GRMZM2G324999	pUT3452
GRMZM5G889719	pUT3454
GRMZM2G124524	pUT3455
GRMZM2G127537	pUT3456
GRMZM2G060109	pUT3457
GRMZM2G161009	pUT3458
GRMZM2G129247	pUT3459
GRMZM2G076272	pUT3460
GRMZM2G037910	pUT3462
GRMZM5G814279	pUT3463
GRMZM2G001139	pUT3464
GRMZM2G110582	pUT3465
GRMZM2G119357	pUT3466
GRMZM2G071620	pUT3467
GRMZM2G046885	pUT3468
GRMZM5G813111	pUT3469
GRMZM2G159397	pUT3470
GRMZM2G059102	pUT3471
GRMZM2G553379	pUT3472
GRMZM2G070034	pUT3473
GRMZM2G003514	pUT3474
GRMZM2G152862	pUT3475
GRMZM2G018589	pUT3477
GRMZM2G087095	pUT3478
GRMZM2G097059	pUT3479
GRMZM2G145554	pUT3168
AC206951.3_FG016	pUT3174
AC198725.4_FG009	pUT3483
GRMZM2G151444	pUT3453
GRMZM2G117851	pUT3218
GRMZM2G011932	pUT3219
GRMZM2G007063	pUT3221
GRMZM2G055413	pUT3222
GRMZM2G402862	pUT3223
GRMZM2G025812	pUT3224
GRMZM2G157722	pUT3489
GRMZM2G445575	pUT3490
GRMZM2G137046	pUT3491
GRMZM2G479885	pUT3216
GRMZM2G130149	pUT5678
GRMZM2G160687	pUT5424
GRMZM2G025703	pUT5426
GRMZM2G091265	pUT5427
GRMZM2G011110	pUT5676
GRMZM2G147698	pUT5355
GRMZM2G159134	pUT5528
GRMZM2G084799	pUT6679
GRMZM2G139073	pUT3494
GRMZM2G129817	pUT5442
GRMZM2G018398	pUT5450
