genename	element
SCEQLB1064D03.g	TF
PTSo00330.1	TF
SCCCLR1048H04.g	TF
SCJFRZ2027C11.g	TF
SCRLSD1009A05.g	TF
PTSo01091.1	TF
SCRFRZ3056G07.g	TF
SCJLRZ1019G05.g	TF
SCEPRZ3046F02.g	TF
SCEQRT2101E10.g	TF
SCEPCL6019C06.g	TF
SCAGLR2011B02.g	TF
SCUTLR1058E01.g	TF
SCBGLR1002H04.g	TF
SCRLFL4026C11.g	TF
SCQGLR2017H06.g	TF
SCCCCL3001H09.g	TF
SCEZLB1005A10.g	TF
SCMCRT2105F02.g	TF
SCRULR1020H08.g	TF
SCEQRT2026E03.g	TF
SCCCLR1070C08.g	TF
SCCCLR2001F11.g	TF
PTSo00358.1	TF
PTSo00106.1	TF
SCCCLR1024F08.g	TF
PTSo00264.1	TF
PTSo00058.1	TF
SCCCLB1002B01.g	TF
PTSo01077.1	TF
PTSo00898.1	TF
SCRFFL8037A03.g	TF
SCEQLR1050D04.g	TF
SCCCST3C02G08.g	TF
PTSo00439.1	TF
SCAGFL8042E07.g	TF
SCSGRT2064D05.g	TF
SCEZLB1008F08.g	TF
SCEZHR1047A03.g	TF
SCAGRT2039C10.g	TF
SCBFAD1093B10.g	TF
SCBGLR1002E05.g	TF
SCJFRZ1006D04.g	TF
SCCCRT2C02B02.g	TF
SCCCCL4006D10.g	TF
PTSo00548.1	TF
SCMCRT2088G09.g	TF
PTSo01173.1	TF
PTSo00430.1	TF
PTSo00267.1	TF
SCQGST1032A06.g	TF
PTSo01107.1	TF
SCCCLR1065F04.g	TF
SCJFST1013H06.g	TF
SCCCRZ2C04E10.g	TF
PTSo00906.1	TF
PTSo00478.1	TF
SCCCSB1002H04.g	TF
PTSo00364.1	TF
SCQGLB1039H01.g	TF
SCJFRZ2010F08.g	TF
PTSo00002.1	TF
SCUTFL1056H05.g	TF
PTSo00005.1	TF
SCQGLB1039C03.g	TF
PTSo00408.1	TF
SCBFRZ2017D04.g	TF
SCMCRT2087F07.g	TF
PTSo00016.1	TF
SCJLRZ1019G05.b	TF
PTSo00441.1	TF
PTSo00022.1	TF
SCCCLR1022C05.g	TF
PTSo00371.1	TF
SCCCLR1024C06.g	TF
SCSGLV1011C04.g	TF
SCEQRT1024G05.g	TF
PTSo00534.1	TF
SCSBFL1106D09.g	TF
SCCCCL5072D12.g	TF
SCSFRT2071A12.g	TF
PTSo01069.1	TF
PTSo00017.1	TF
SCRLAM1011C03.g	TF
PTSo00504.1	TF
PTSo00494.1	TF
SCMCCL6050E05.g	TF
PTSo00562.1	TF
PTSo00380.1	TF
SCJLRT1017D12.g	TF
SCCCRZ2C03D11.g	TF
SCEPRZ1008A04.g	TF
PTSo01155.1	TF
PTSo00105.1	TF
SCBFRZ2048C10.g	TF
PTSo00357.1	TF
SCJFRT2060G09.g	TF
PTSo00546.1	TF
PTSo00425.1	TF
SCJLLR1033A10.g	TF
SCCCRZ2C03F08.g	TF
SCCCLR1078B06.g	TF
PTSo00421.1	TF
PTSo00412.1	TF
SCQGRT1044D10.g	TF
PTSo00409.1	TF
SCSGFL5C03A02.g	TF
PTSo00503.1	TF
PTSo01078.1	TF
SCCCCL2001D01.b	TF
SCUTST3084B04.g	TF
SCCCLR1080F10.g	TF
PTSo00538.1	TF
SCJLST1027A12.g	TF
PTSo00914.1	TF
SCAGFL3022D09.g	Coreg
PTSo00954.1	Coreg
SCRFAM1028B07.g	Coreg
PTSo00947.1	Coreg
PTSo00109.1	TF
SCBGFL4056H05.g	TF
SCVPLR1006H07.g	TF
PTSo00050.1	TF
SCCCRZ1C01B03.g	TF
PTSo00407.1	TF
SCRFAD1023F09.g	TF
PTSo01055.1	TF
SCJLHR1029E10.g	TF
SCQSRT1036G02.g	TF
SCCCCL6002H05.g	TF
SCRLCL6032B05.g	TF
PTSo00021.1	TF
SCCCCL3001C05.g	TF
PTSo00356.1	TF
PTSo01128.1	TF
SCEQAM2038B11.g	TF
SCQSLR1018C01.g	TF
PTSo01080.1	TF
PTSo00438.1	TF
SCBGLR1023H03.g	TF
SCJLRT2050D07.g	TF
SCBFLR1039G11.g	TF
PTSo00261.1	TF
PTSo01057.1	TF
PTSo00435.1	TF
SCJFRZ2015E01.g	TF
